Day,RunN,BurrHole,ChannelSelection,ClusterID,ChanIdxStart,ChanIdxEnd,DepthMM_start,DepthMM_end,Length,NChan,PctResponsive,PctDirectional,PctComplex,DominantPrefDir_deg,PrefDirConcentration_0to1,MeanTuningStrength,PlannedStructures_superficialToDeep,AssignedArea,Confidence,Notes,L6,L5,L4,L3,L2,L1
20260224,1,5,Ch2H5quarter,1,1,20,0.12,0.92,0.8,20,65,5,0,128.326339049239,1,0.433846608226803,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Posterior Commisure (or Habenula or CM?),40,,Posterior Commisure (or Habenula or CM?),,,,,
20260224,1,5,Ch2H5quarter,2,21,80,0.96,3.32,2.36,60,30,3.33333333333333,3.33333333333333,202.653855019602,0.843771784377746,0.189882476904966,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula,70,,Habenula,,,,,
20260224,1,5,Ch2H5quarter,3,81,100,3.36,4.12,0.76,20,65,0,0,NaN,NaN,0.0979117497808366,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",MD Thalamus (or Habenula?),60,Could be either,MD Thalamus (or Habenula?),,,,,
20260224,1,5,Ch2H5quarter,4,101,120,4.16,9.74,5.58,20,45,5,0,198.385133953362,1,0.170121846683775,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",BA29 (and Fornix?),50,Fornix on deeper channels?,BA29 (and Fornix?),,,,,
20260224,1,5,Ch2H5quarter,5,121,240,9.78,18.38,8.6,120,2.5,0,0,NaN,NaN,0.0086350003173552,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],80,,PCC [BA23C],,,,,
20260224,1,5,Ch2H5quarter,6,241,260,18.42,19.18,0.759999999999998,20,25,0,0,NaN,NaN,0.11472832884727,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],99,,S1 [BA1-2],,,,,
20260224,1,5,Ch2H5quarter,7,261,380,19.22,26.8,7.58,120,1.66666666666667,0,0,NaN,NaN,0.00775715051881891,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],99,,S1 [BA1-2],,,,,
20260224,1,5,Ch2H5quarter,8,381,384,26.84,26.96,0.120000000000001,4,25,0,0,NaN,NaN,0.16540436278095,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],99,,S1 [BA1-2],,,,,
20260226,3,4,Ch2H4quarter,1,1,40,0.02,1.58,1.56,40,60,0,5,NaN,NaN,0.219406915630009,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",CM-pf Thalamus,40,,CM-pf Thalamus,,,,,
20260226,3,4,Ch2H4quarter,2,41,80,1.62,3.3,1.68,40,87.5,25,7.5,164.973022737233,0.765385630671491,0.36857064603655,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",CL-pc Thalamus (or MD Thalamus?),20,,CL-pc Thalamus (or MD Thalamus?),,,,,
20260226,3,4,Ch2H4quarter,3,81,100,3.34,4.1,0.76,20,90,30,25,133.396099972423,0.893017691818234,0.42558621166317,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",MD Thalamus,60,,MD Thalamus,,,,,
20260226,3,4,Ch2H4quarter,4,101,160,4.14,6.5,2.36,60,90,26.6666666666667,20,223.935804446889,0.575927842793535,0.413474342218179,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",MD Thalamus,60,,MD Thalamus,,,,,
20260226,3,4,Ch2H4quarter,5,161,180,6.54,12.12,5.58,20,85,15,15,133.617886253676,0.901028109185229,0.407399539079799,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",Fornix,30,Deep channels,Fornix,,,,,
20260226,3,4,Ch2H4quarter,6,181,220,12.16,13.76,1.6,40,57.5,10,0,62.8527732578852,0.0697563551507509,0.146314754243577,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",PCC [BA23C],70,,PCC [BA23C],,,,,
20260226,3,4,Ch2H4quarter,7,221,240,13.8,14.56,0.76,20,25,5,0,107.521376819005,1,0.119467706198275,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",PCC [BA23C],70,,PCC [BA23C],,,,,
20260226,3,4,Ch2H4quarter,8,241,260,14.6,15.36,0.76,20,80,5,60,109.013128842617,1,0.576525105866739,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",PCC [BA23C],70,,PCC [BA23C],,,,,
20260226,3,4,Ch2H4quarter,9,261,280,15.4,16.16,0.76,20,65,0,0,NaN,NaN,0.149774282867643,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",S1 [BA1-2],90,,S1 [BA1-2],,,,,
20260226,3,4,Ch2H4quarter,10,281,300,16.2,16.96,0.760000000000002,20,50,0,0,NaN,NaN,0.11777594881734,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",S1 [BA1-3],90,,S1 [BA1-3],,,,,
20260226,3,4,Ch2H4quarter,11,301,380,17,26.7,9.7,80,68.75,7.5,21.25,118.699913485258,0.849378076777524,0.283987833295313,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",S1 [BA1-3],90,,S1 [BA1-3],,,,,
20260226,3,4,Ch2H4quarter,12,381,384,26.78,26.86,0.0799999999999983,4,25,0,25,NaN,NaN,0.184292829236599,"S1 BA1/2, BA3, (M1), PCC BA23 -> Thalamus MD, CL, CM",S1 [BA1-2],90,,S1 [BA1-2],,,,,
20260303,3,5,Ch2h5quarterD,1,1,80,0.12,3.32,3.2,80,51.25,3.75,6.25,150.484220437971,0.783699110700316,0.155041408304414,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula,,,Habenula,,,,,
20260303,3,5,Ch2h5quarterD,2,81,120,3.36,9.74,6.38,40,80,12.5,5,133.97229940403,0.66510295653022,0.246357243084962,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",MD Thalamus (deep) and BA20 (higher up),,,MD Thalamus (deep) and BA20 (higher up),,,,,
20260303,3,5,Ch2h5quarterD,3,121,160,9.78,12,2.22,40,57.5,7.5,2.5,195.3255116929,0.994441529032349,0.188959010687244,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260303,3,5,Ch2h5quarterD,4,161,180,15.14,15.9,0.76,20,80,5,5,96.8208129763187,1,0.187572635834081,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260303,3,5,Ch2h5quarterD,5,181,240,15.94,18.38,2.44,60,1.66666666666667,0,0,NaN,NaN,0.00689232354445557,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260303,3,5,Ch2h5quarterD,6,241,300,18.42,20.78,2.36,60,16.6666666666667,0,1.66666666666667,NaN,NaN,0.0511787464591424,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260303,3,5,Ch2h5quarterD,7,301,320,20.82,24.4,3.58,20,85,0,15,NaN,NaN,0.254816367188231,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260303,3,5,Ch2h5quarterD,8,321,380,24.44,26.8,2.36,60,98.3333333333333,5,6.66666666666667,124.084471555995,0.931782478542329,0.284790502037866,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260303,3,5,Ch2h5quarterD,9,381,384,26.84,26.96,0.120000000000001,4,50,0,0,NaN,NaN,0.215840858507159,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260310,3,5,4bankeven,1,1,20,0,0.76,0.76,20,25,5,5,274.412990998343,1,0.162168911061986,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula (or precommisural nucleus?),,,Habenula (or precommisural nucleus?),,,,,
20260310,3,5,4bankeven,2,21,40,0.8,1.56,0.76,20,10,0,0,NaN,NaN,0.0352645563928331,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula,,,Habenula,,,,,
20260310,3,5,4bankeven,3,41,80,1.6,3.16,1.56,40,35,7.5,0,72.0358661247915,0.990791772949333,0.0996151942750406,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula,,,Habenula,,,,,
20260310,3,5,4bankeven,4,81,120,3.2,4.76,1.56,40,97.5,25,5,120.866097264707,0.359263179453076,0.331167851337681,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Habenula or MD Thalamus,,,Habenula or MD Thalamus,,,,,
20260310,3,5,4bankeven,5,121,160,4.8,6.36,1.56,40,92.5,37.5,12.5,62.2719621182201,0.694656681343088,0.298806891218114,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",MD Thalamus,,,MD Thalamus,,,,,
20260310,3,5,4bankeven,6,161,180,6.4,7.16,0.76,20,95,35,15,13.5041706480892,0.608548629335554,0.229769121696772,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",Fornix?,,,Fornix?,,,,,
20260310,3,5,4bankeven,7,181,240,7.2,9.58,2.38,60,93.3333333333333,13.3333333333333,5,299.973050787674,0.660631925621659,0.284584370893305,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",BA29,,,BA29,,,,,
20260310,3,5,4bankeven,8,241,360,9.62,14.38,4.76,120,41.6666666666667,2.5,2.5,302.904100555741,0.905891605831051,0.107041676393881,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260310,3,5,4bankeven,9,361,380,14.42,15.18,0.76,20,70,40,0,3.16711158186527,0.984016287616456,0.245336618984824,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",PCC [BA23C],,,PCC [BA23C],,,,,
20260310,3,5,4bankeven,10,381,384,15.22,15.34,0.119999999999999,4,50,0,0,NaN,NaN,0.0798996432589025,"S1 BA1/2, BA3, PCC BA23, retrosplenial BA29 -> Habenula, Posterior commissure or CM",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260312,3,1,Single column,1,1,60,0,1.18,1.18,60,100,73.3333333333333,3.33333333333333,143.11364737409,0.967534511468722,0.269377272603456,"S1 BA1/2, PCC BA23 -> SC",SC or mesencephalic reticular formation,,,SC or mesencephalic reticular formation,,,,,
20260312,3,1,Single column,2,61,120,1.2,2.38,1.18,60,100,70,11.6666666666667,103.770365266363,0.988968956173702,0.406479611754283,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,3,121,140,2.4,2.78,0.38,20,50,0,5,NaN,NaN,0.0785982235009326,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,4,141,160,2.8,3.18,0.38,20,70,0,5,NaN,NaN,0.220980667106309,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,5,161,200,3.2,3.98,0.78,40,92.5,25,2.5,182.728547677294,0.203303258630948,0.296815815401503,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,6,201,260,4,5.18,1.18,60,100,83.3333333333333,3.33333333333333,129.44912058089,0.972971476884115,0.313883899571376,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,7,261,340,5.2,6.78,1.58,80,96.25,23.75,16.25,87.8157524531131,0.865835158987511,0.336620675701827,"S1 BA1/2, PCC BA23 -> SC",SC,,,SC,,,,,
20260312,3,1,Single column,8,341,380,6.8,7.58,0.78,40,97.5,15,7.5,35.8779626711917,0.933397942716172,0.305214321680269,"S1 BA1/2, PCC BA23 -> SC",SC or Fornix,,,SC or Fornix,,,,,
20260312,3,1,Single column,9,381,384,7.6,7.66,0.0600000000000005,4,100,75,0,334.304305601772,0.996236386937159,0.632378017116895,"S1 BA1/2, PCC BA23 -> SC",Fornix?,,,Fornix?,,,,,
20260317,3,2,Ch2H2sections3quarterD,1,1,20,0,0.76,0.76,20,85,5,5,159.652048438492,1,0.223409194853026,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",Medial Geniculate or Suprageniculate,,,Medial Geniculate or Suprageniculate,,,,,
20260317,3,2,Ch2H2sections3quarterD,2,21,60,0.8,2.4,1.6,40,37.5,2.5,2.5,129.837940997283,1,0.156136614329656,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",Medial Geniculate or Suprageniculate or SC,,,Medial Geniculate or Suprageniculate or SC,,,,,
20260317,3,2,Ch2H2sections3quarterD,3,61,180,2.44,7.22,4.78,120,59.1666666666667,5,0,183.931101647409,0.623968835779881,0.171482489066448,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",Anterior Pulvinar or Lateral Pulvinar,,,Anterior Pulvinar or Lateral Pulvinar,,,,,
20260317,3,2,Ch2H2sections3quarterD,4,181,200,7.26,8.04,0.779999999999999,20,100,15,0,177.250654867066,0.813806168471166,0.289443975693289,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",Lateral Pulvinar,,,Lateral Pulvinar,,,,,
20260317,3,2,Ch2H2sections3quarterD,5,201,240,8.08,16.1,8.02,40,90,10,2.5,317.048527506509,0.514819424173828,0.207144948598544,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",VIP (high channels),,,VIP (high channels),,,,,
20260317,3,2,Ch2H2sections3quarterD,6,241,300,16.14,18.96,2.82,60,51.6666666666667,3.33333333333333,0,147.293002319818,0.976948131087834,0.132840689767434,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",VIP or PEa [BA5],,,VIP or PEa [BA5],,,,,
20260317,3,2,Ch2H2sections3quarterD,7,301,384,23.94,27.26,3.32,84,95.2380952380952,7.14285714285714,0,159.195786204936,0.929037545821951,0.294517571309913,"S1 BA1/2 or PE BA5 -> VIP -> Inferior/Anterior pulvinar (Medial pulvinar, Suprageniculate, MGN)",PE [BA5],,,PE [BA5],,,,,
20260318,3,0,Ch2H0sections2,1,1,20,0.04,0.8,0.76,20,85,10,0,176.797596585681,0.999996636696855,0.326351404067152,"S1 BA1/2, BA3 -> VLP, VPI, ZI",SN or ZI,,,SN or ZI,,,,,
20260318,3,0,Ch2H0sections2,2,21,40,0.84,1.6,0.76,20,65,5,0,144.811345313342,1,0.351529412298737,"S1 BA1/2, BA3 -> VLP, VPI, ZI",VPI Thalamus or Suprafascicular Nucleus,,,VPI Thalamus or Suprafascicular Nucleus,,,,,
20260318,3,0,Ch2H0sections2,3,41,100,1.64,4.42,2.78,60,90,3.33333333333333,1.66666666666667,152.153586681009,0.999846580885028,0.325957291934503,"S1 BA1/2, BA3 -> VLP, VPI, ZI",VPI Thalamus or VMP Thalamus and VPM-VPL Thalamus,,,VPI Thalamus or VMP Thalamus and VPM-VPL Thalamus,,,,,
20260318,3,0,Ch2H0sections2,4,101,140,4.46,6.02,1.56,40,25,2.5,0,135,1,0.159499458977071,"S1 BA1/2, BA3 -> VLP, VPI, ZI",VPM-VPL Thalamus,,,VPM-VPL Thalamus,,,,,
20260318,3,0,Ch2H0sections2,5,141,160,6.06,6.82,0.760000000000001,20,65,5,0,118.924929793834,1,0.237958217531766,"S1 BA1/2, BA3 -> VLP, VPI, ZI",VL-PL Thalamus,,,VL-PL Thalamus,,,,,
20260318,3,0,Ch2H0sections2,6,161,180,6.86,7.62,0.76,20,100,30,0,174.286783939014,0.907269683907089,0.135056652916558,"S1 BA1/2, BA3 -> VLP, VPI, ZI",VPM-VPL Thalamus,,,VPM-VPL Thalamus,,,,,
20260318,3,0,Ch2H0sections2,7,181,200,7.66,20.7,13.04,20,85,5,0,184.522246350897,1,0.23546250362514,"S1 BA1/2, BA3 -> VLP, VPI, ZI",WhiteMatter?,,,WhiteMatter?,,,,,
20260318,3,0,Ch2H0sections2,8,201,220,20.74,21.5,0.760000000000002,20,30,5,0,191.371430569769,1,0.20383547338336,"S1 BA1/2, BA3 -> VLP, VPI, ZI",WhiteMatter? Or S1 [BA3],,,WhiteMatter? Or S1 [BA3],,,,,
20260318,3,0,Ch2H0sections2,9,221,280,21.54,23.9,2.36,60,71.6666666666667,5,1.66666666666667,239.974256387826,0.294347469883435,0.207313644342622,"S1 BA1/2, BA3 -> VLP, VPI, ZI",S1 [BA3],,,S1 [BA3],,,,,
20260318,3,0,Ch2H0sections2,10,281,320,23.94,25.52,1.58,40,12.5,0,0,NaN,NaN,0.0659678638563892,"S1 BA1/2, BA3 -> VLP, VPI, ZI",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260318,3,0,Ch2H0sections2,11,321,340,25.56,26.32,0.760000000000002,20,35,0,0,NaN,NaN,0.0660352982846194,"S1 BA1/2, BA3 -> VLP, VPI, ZI",S1 [BA1-2],,,S1 [BA1-2],,,,,
20260318,3,0,Ch2H0sections2,12,341,384,26.36,28.18,1.82,44,95.4545454545455,29.5454545454545,2.27272727272727,164.317242226158,0.962434133012959,0.365136873579837,"S1 BA1/2, BA3 -> VLP, VPI, ZI",S1 [BA1-2],,,S1 [BA1-2],,,,,
