pooled_label,our_area,modha_node,match_type,modha_full_name,tuning_PctDirectional,tuning_PctComplex,tuning_PctResponsive,tuning_MeanTuningStrength,tuning_NChannels,decode_visual,decode_planning,decode_execution,planexec_PctPlanOnly,planexec_PctExecOnly,planexec_NChannels,notes
APUL,Anterior Pulvinar,Pul.o,leaf_exact,Nucleus pulvinaris oralis thalami,14.666666666666666,0.33333333333333337,56.99999999999999,0.16574461239173777,300.0,0.15716620284477428,0.15140460729746444,0.21167377860235,20.0,50.0,180.0,oralis = anterior pulvinar
AREAS_1-2,S1 [BA1-2],1#1;2#1,leaf_split,Area 1; Area 2,9.703947368421053,5.098684210526316,54.60526315789473,0.17791350534865652,608.0,0.15542518143621087,0.14368266435362023,0.16472792526101349,47.05882352941177,80.85106382978724,464.0,
AREA_23,PCC [BA23C],23,leaf_exact,Area 23,4.84375,5.46875,38.90625,0.12382709411819688,640.0,0.14875532725559387,0.15150193276526375,0.17776878562938817,58.8235294117647,75.0,520.0,
AREA_29,BA29,29,leaf_exact,Area 29,11.25,3.75,81.25,0.2559687398409223,80.0,,,,33.333333333333336,75.0,60.0,
AREA_5D,PE [BA5],PEm,leaf_mechanical_aggregate,Rostral superior parietal lobule,10.185185185185185,0.0,95.37037037037037,0.27697191947901767,108.0,0.12744086270871985,0.11423353432282002,0.1521045918367347,,,,PE#1/PE#2 merged into PEm
CD,,,,,3.75,1.25,28.749999999999996,0.1262261377102991,80.0,,,,,,,"EXCLUDED: pooled FullName is ""Ventricle or Caudate"" -- ambiguous, not a clean region"
CL-PC,CL-pc Thalamus,Cl#2,leaf_exact,Nucleus centralis lateralis thalami,35.0,8.75,93.75,0.2833052225110719,80.0,0.2512468434343434,0.2184185606060606,0.2929608585858586,13.333333333333334,53.57142857142857,80.0,FALSE FRIEND: not CL#4 (auditory belt cortex)
CM,central medial thalamus (CM),C#4,leaf_mechanical_aggregate,Nucleus centralis thalami,5.0,0.0,65.0,0.43384660822680293,20.0,,,,,,,"distinct from CMN-PF/CM-pf -- new crosswalk row, see below"
CMN-PF,CM-pf Thalamus,CM#2,leaf_exact,nucleus centrum medianum (thalamus),21.666666666666668,3.3333333333333335,71.66666666666667,0.222325870360499,60.0,0.22105429292929296,0.22683080808080808,0.24517045454545455,15.384615384615385,8.333333333333334,60.0,
F,Fornix,,gap_excluded,,35.869565217391305,21.195652173913043,91.30434782608695,0.2531287381256159,184.0,0.26836092623647645,0.23448006556498854,0.2676407157996483,12.5,37.07865168539326,164.0,"white matter tract, not a placement target"
FUNDUS_IPS,VIP,VIP,leaf_exact,Ventral intraparietal area,7.5892857142857135,0.8928571428571428,72.32142857142857,0.17661135698978955,224.0,0.14214162028447744,0.11552473716759432,0.154508658008658,66.66666666666667,83.33333333333333,160.0,
